radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
    3795.900,    2575.100,       5.332,      13.485,       7.073,57823, 3466,  613.998185,  266.755398,  116.868579,    2391.597
    3800.914,    2570.086,       5.330,      13.481,       7.071,57823, 3414,  613.377561,  266.450102,  116.588658,    2390.370
    3805.929,    2565.071,       5.328,      13.477,       7.069,57823, 3363,  612.730959,  266.211626,  116.310404,    2388.753
    3810.943,    2560.057,       5.325,      13.473,       7.067,57823, 3312,  611.961740,  265.981380,  116.032676,    2386.948
    3815.957,    2555.043,       5.323,      13.468,       7.066,57823, 3262,  611.290003,  265.742292,  115.752659,    2385.141
    3820.971,    2550.029,       5.321,      13.465,       7.064,57823, 3212,  610.646991,  265.496453,  115.474522,    2383.239
    3825.986,    2545.014,       5.319,      13.460,       7.062,57823, 3163,  609.872703,  265.246172,  115.197191,    2381.337
    3831.000,    2540.000,       5.316,      13.455,       7.060,57823, 3114,  609.186679,  264.990773,  114.919358,    2379.511
    3841.005,    2529.995,       5.312,      13.444,       7.056,57823, 3019,  607.447467,  264.472324,  114.366906,    2375.761
    3851.010,    2519.990,       5.307,      13.433,       7.052,57823, 2926,  605.639330,  263.949345,  113.815904,    2372.066
    3861.014,    2509.986,       5.302,      13.421,       7.048,57823, 2835,  603.837243,  263.424495,  113.262266,    2368.360
    3871.019,    2499.981,       5.298,      13.409,       7.044,57823, 2746,  602.035576,  262.900270,  112.713986,    2364.610
    3881.024,    2489.976,       5.293,      13.397,       7.040,57823, 2659,  600.229749,  262.362832,  112.165456,    2360.907
    3891.029,    2479.971,       5.288,      13.386,       7.036,57823, 2574,  598.415547,  261.823269,  111.618870,    2357.186
    3901.033,    2469.967,       5.283,      13.374,       7.032,57823, 2492,  596.592314,  261.284144,  111.069582,    2353.339
    3911.038,    2459.962,       5.278,      13.362,       7.029,57823, 2411,  594.764888,  260.761360,  110.523994,    2349.513
    3921.043,    2449.957,       5.274,      13.350,       7.025,57823, 2332,  592.929699,  260.245265,  109.977729,    2345.619
    3931.048,    2439.952,       5.269,      13.338,       7.021,57823, 2255,  591.090944,  259.732671,  109.432838,    2341.413
    3941.052,    2429.948,       5.264,      13.327,       7.017,57823, 2180,  589.243311,  259.227465,  108.889394,    2337.483
    3951.057,    2419.943,       5.259,      13.315,       7.014,57823, 2107,  587.390932,  258.727066,  108.344277,    2333.713
    3961.062,    2409.938,       5.254,      13.303,       7.010,57823, 2036,  585.534212,  258.232040,  107.803769,    2329.871
    3971.067,    2399.933,       5.250,      13.291,       7.007,57823, 1966,  583.676937,  257.740210,  107.262710,    2326.771
    3981.072,    2389.928,       5.245,      13.279,       7.004,57823, 1899,  581.823432,  257.248765,  106.720417,    2323.933
    3991.076,    2379.924,       5.240,      13.267,       7.000,57823, 1833,  579.977652,  256.754993,  106.181221,    2321.213
    4001.081,    2369.919,       5.235,      13.255,       6.996,57823, 1769,  578.141616,  256.256620,  105.642198,    2318.718
    4011.086,    2359.914,       5.230,      13.244,       6.993,57823, 1707,  576.314853,  255.753501,  105.104363,    2316.261
    4021.091,    2349.909,       5.225,      13.232,       6.989,57823, 1646,  574.495148,  255.246588,  104.566576,    2313.818
    4031.095,    2339.905,       5.220,      13.220,       6.985,57823, 1587,  572.681887,  254.736010,  104.029748,    2311.379
    4041.100,    2329.900,       5.216,      13.208,       6.982,57823, 1530,  570.877714,  254.219179,  103.493938,    2308.931
    4051.105,    2319.895,       5.211,      13.196,       6.978,57823, 1475,  569.087140,  253.692896,  102.961095,    2306.477
    4061.110,    2309.890,       5.206,      13.184,       6.973,57823, 1421,  567.307999,  253.158753,  102.428032,    2304.013
    4071.115,    2299.885,       5.201,      13.172,       6.969,57823, 1369,  565.533557,  252.621443,  101.897323,    2301.540
    4081.119,    2289.881,       5.196,      13.160,       6.965,57823, 1318,  563.759645,  252.083432,  101.366851,    2299.064
    4091.124,    2279.876,       5.191,      13.148,       6.961,57823, 1269,  561.983677,  251.545056,  100.837443,    2296.575
    4101.129,    2269.871,       5.186,      13.136,       6.957,57823, 1221,  560.204411,  251.006265,  100.308722,    2294.078
    4111.134,    2259.866,       5.182,      13.123,       6.953,57823, 1175,  558.421347,  250.466931,   99.785871,    2291.581
